year,variable,value,question,N,low,pct,upp
2014,ofthang,Yes,jobop,3163,0.565056351107557,0.585366469328981,0.605676587550406
2015,ofthang,No,eqpay,1508,0.705325625126502,0.730958167154065,0.756590709181628
2015,ofthang,No,jobop,1508,0.622202891987542,0.649985222333861,0.67776755268018
2015,ofthang,Yes,eqpay,3296,0.698097969267676,0.71655330975747,0.735008650247264
2015,ofthang,Yes,jobop,3296,0.590117406992672,0.609875411354657,0.629633415716642
2016,ofthang,No,eqpay,1513,0.685321904341596,0.713163537531041,0.741005170720487
2016,ofthang,No,jobop,1513,0.61092301112748,0.640132438522152,0.669341865916823
2016,ofthang,Yes,eqpay,3497,0.687554442240163,0.705942808317322,0.72433117439448
2016,ofthang,Yes,jobop,3497,0.588584933491587,0.608227628549166,0.627870323606746
2017,ofthang,No,eqpay,1462,0.698742408993811,0.72579580615728,0.752849203320749
2017,ofthang,No,jobop,1462,0.611950708971448,0.641211756250108,0.670472803528767
2017,ofthang,Yes,eqpay,3111,0.703186752296797,0.722059749467078,0.740932746637359
2017,ofthang,Yes,jobop,3111,0.600595623283458,0.620971298384156,0.641346973484853
2018,ofthang,No,eqpay,1430,0.704593922120497,0.732579343640203,0.760564765159908
2018,ofthang,No,jobop,1430,0.6243594087931,0.654731091232286,0.685102773671472
2018,ofthang,Yes,eqpay,3153,0.704330216504369,0.723566444110225,0.742802671716082
2018,ofthang,Yes,jobop,3153,0.599931701939375,0.621053475836464,0.642175249733553
2019,ofthang,No,eqpay,1320,0.673844233296653,0.703941435707101,0.734038638117549
2019,ofthang,No,jobop,1320,0.591155578081738,0.623222939318235,0.655290300554732
2019,ofthang,Yes,eqpay,3065,0.669614298802471,0.689848941192863,0.710083583583255
2019,ofthang,Yes,jobop,3065,0.565919214440876,0.587382210336984,0.608845206233092
2020,ofthang,No,eqpay,433,0.624886227875162,0.682529345428961,0.74017246298276
2020,ofthang,No,jobop,433,0.571733909624877,0.629417416948304,0.68710092427173
2020,ofthang,Yes,eqpay,879,0.618412287912942,0.659381859240176,0.700351430567409
2020,ofthang,Yes,jobop,879,0.457782316027668,0.500896518389107,0.544010720750545
2021,ofthang,No,eqpay,1327,0.624465418564469,0.656861416469907,0.689257414375345
2021,ofthang,No,jobop,1327,0.520699678983168,0.554202892324125,0.587706105665081
2021,ofthang,Yes,eqpay,2184,0.59052305302853,0.616078463856037,0.641633874683543
2021,ofthang,Yes,jobop,2184,0.487476863225404,0.513553004819156,0.539629146412907
2022,ofthang,No,eqpay,993,0.646418338999448,0.682967772280587,0.719517205561727
2022,ofthang,No,jobop,993,0.55181493750472,0.590857783470424,0.629900629436129
2022,ofthang,Yes,eqpay,2261,0.594182241518218,0.618985108987843,0.643787976457468
2022,ofthang,Yes,jobop,2261,0.467813381447681,0.493405891702247,0.518998401956813
2023,ofthang,No,eqpay,729,0.555308807397258,0.603795618959479,0.652282430521699
2023,ofthang,No,jobop,729,0.444996155944188,0.493877702050345,0.542759248156502
2023,ofthang,Yes,eqpay,1472,0.52072050439242,0.555525941688472,0.590331378984523
2023,ofthang,Yes,jobop,1472,0.39669133817752,0.430787110572232,0.464882882966943
